--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
test_image/DataTest1.png 	ad7034oe                 	0.7133
test_image/DataTest2.png 	a9388ex                  	0.3876
test_image/DataTest3.png 	b16tb                    	0.8312
test_image/DataTest4.png 	b1661tkz                 	0.3632
test_image/DataTest5.png 	ad3772abe                	0.2312
test_image/DataTest6.png 	b278en                   	0.0025
test_image/DataTest7.png 	b1064tfr                 	0.9621
test_image/DataTest8.png 	b1395tjm                 	0.5418
test_image/DataTest9.png 	b1270rfd                 	0.9121
test_image/DataTest10.png	b1736byh                 	0.9789
test_image/DataTest11.png	b1627bie                 	0.5400
test_image/DataTest12.png	b1678wzm                 	0.3560
test_image/DataTest13.png	ad9313ss                 	0.9569
test_image/DataTest14.png	b1036ul                  	0.9082
test_image/DataTest15.png	b1801tzs                 	0.5352
test_image/DataTest16.png	b1474tjs                 	0.3937
test_image/DataTest17.png	b1939pu                  	0.7578
test_image/DataTest18.png	b1260tzt                 	0.9875
test_image/DataTest19.png	b1376tjo                 	0.9654
test_image/DataTest20.png	b17qo                    	0.2582
test_image/DataTest21.png	ab6328kz                 	0.5941
test_image/DataTest22.png	b1236pzn                 	0.6988
test_image/DataTest23.png	ab8644pk                 	0.8441
test_image/DataTest24.png	b1jkt                    	0.4288
test_image/DataTest25.png	a7084qd                  	0.1275
test_image/DataTest26.png	b1131ekg                 	0.8275
test_image/DataTest27.png	b1837n                   	0.0040
test_image/DataTest28.png	b1036ul                  	0.7403
test_image/DataTest29.png	b9653                    	0.0013
test_image/DataTest30.png	a9192zm                  	0.5184
test_image/DataTest31.png	b020kjt                  	0.1062
test_image/DataTest32.png	b1643tro                 	0.5614
test_image/DataTest33.png	b1390tjd                 	0.2250
test_image/DataTest34.png	ab2681vo                 	0.5596
test_image/DataTest35.png	b1860eft                 	0.6415
test_image/DataTest36.png	a8749fs                  	0.7946
test_image/DataTest37.png	b1566fon                 	0.8917
test_image/DataTest38.png	b1063sjq                 	0.8808
test_image/DataTest39.png	b1254tfx                 	0.4137
test_image/DataTest40.png	b1038jcy                 	0.8983
test_image/DataTest41.png	ab4923uh                 	0.8351
test_image/DataTest42.png	b1509un                  	0.4760
test_image/DataTest43.png	b1937tlp                 	0.4224
test_image/DataTest44.png	ba202ul                  	0.9224
test_image/DataTest45.png	b1026twz                 	0.4722
test_image/DataTest46.png	b1724pyw                 	0.4602
test_image/DataTest47.png	b1102siv                 	0.8377
test_image/DataTest48.png	ad7034qe                 	0.3666
test_image/DataTest49.png	ab4352cx                 	0.8137
test_image/DataTest50.png	b1895ejb                 	0.9613
test_image/DataTest51.png	b1786ujt                 	0.9842
test_image/DataTest52.png	b1549rfs                 	0.8886
test_image/DataTest53.png	b1869eof                 	0.8894
test_image/DataTest54.png	b1713vx                  	0.8478
test_image/DataTest55.png	b1063spw                 	0.8699
test_image/DataTest56.png	b1661tkz                 	0.7814
test_image/DataTest57.png	a8014va                  	0.2545
test_image/DataTest58.png	b1873yu                  	0.4364
test_image/DataTest59.png	b132q                    	0.0005
test_image/DataTest60.png	b1422bk                  	0.8938
test_image/DataTest61.png	ab5278xa                 	0.5143
test_image/DataTest62.png	ad418u                   	0.8566
test_image/DataTest63.png	b1157y                   	0.9053
test_image/DataTest64.png	b1233rfd                 	0.8688
test_image/DataTest65.png	b1031ni                  	0.8512
test_image/DataTest66.png	ad99jr                   	0.8725
test_image/DataTest67.png	b1683sey                 	0.9019
test_image/DataTest68.png	b137054oo                	0.0001
test_image/DataTest69.png	b1241ssh                 	0.1263
test_image/DataTest70.png	b1632tjj                 	0.9576
test_image/DataTest71.png	b1907elr                 	0.9243
test_image/DataTest72.png	b1815tjq                 	0.8121
test_image/DataTest73.png	b1734ujn                 	0.3947
test_image/DataTest74.png	b1743eyf                 	0.6373
test_image/DataTest75.png	b1075qo                  	0.8128
test_image/DataTest76.png	a953in                   	0.2841
test_image/DataTest77.png	b1523tjt                 	0.5692
test_image/DataTest78.png	b1157ssl                 	0.9627
test_image/DataTest79.png	b1713vx                  	0.8478
test_image/DataTest80.png	b1361tjs                 	0.1532
test_image/DataTest81.png	a998ex                   	0.0490
test_image/DataTest82.png	b1532nky                 	0.7379
test_image/DataTest83.png	b1800uyu                 	0.9117
test_image/DataTest84.png	b1411tve                 	0.6075
test_image/DataTest85.png	ab3787ke                 	0.4049
test_image/DataTest86.png	b1339rfd                 	0.8244
test_image/DataTest87.png	b1903rfd                 	0.9780
test_image/DataTest88.png	ab29580h                 	0.7582
test_image/DataTest89.png	ad418u                   	0.5901
test_image/DataTest90.png	b1885tlp                 	0.8485
test_image/DataTest91.png	b1634ssn                 	0.9642
test_image/DataTest92.png	ab3511gh                 	0.4248
test_image/DataTest93.png	b1726uua                 	0.7244
test_image/DataTest94.png	b1820tjv                 	0.9853
test_image/DataTest95.png	b1619urb                 	0.8717
test_image/DataTest96.png	b9965l                   	0.0024
test_image/DataTest97.png	ab8644pk                 	0.5085
test_image/DataTest98.png	ag9718eg                 	0.5197
test_image/DataTest99.png	b1509un                  	0.4758
test_image/DataTest100.png	b1408rk                  	0.4428
